dataset,sequence,backend,mean_confidence,count_cv,n_tracks,TRA,DET,LNK,AOGM,fn_nodes,fp_nodes,fn_edges,fp_edges,ns_nodes,ws_edges
Fluo-N2DH-GOWT1,01,cellpose,100.0,0.05799543971351275,190,0.9730032793822067,0.9827502429543246,0.9072891072891073,638.0,31,45,188,1,0,0
Fluo-N2DH-GOWT1,01,hybrid,100.0,0.3350388394329261,758,0.5983497302443669,0.6156462585034014,0.4817362817362817,9492.0,674,1170,1054,1,0,0
Fluo-N2DH-GOWT1,01,threshold,100.0,0.3415755218506104,730,0.3643499418174124,0.36700680272108843,0.34643734643734647,15022.0,1134,1687,1330,0,0,0
Fluo-N2DH-GOWT1,02,cellpose,100.0,0.09713053588467702,588,0.9180691183599973,0.9416368692888359,0.7580906148867314,2366.0,124,229,598,0,0,0
Fluo-N2DH-GOWT1,02,hybrid,100.0,0.21419658034999378,837,0.7776681210610152,0.7984902661899086,0.6363268608414239,6420.5,426,812,899,0,0,0
Fluo-N2DH-GOWT1,02,threshold,100.0,0.230779743718122,869,0.3095609114204585,0.30885975367500995,0.3143203883495146,19938.5,1543,1966,1695,0,0,0
Fluo-N2DH-SIM+,01,cellpose,100.0,0.1358019328861983,450,0.9570447596611699,0.9780974299961642,0.8147283806560353,1285.5,53,41,463,0,0,20
Fluo-N2DH-SIM+,01,hybrid,100.0,0.13561145516576098,461,0.9492590179272551,0.9709244342155735,0.8028004667444574,1518.5,69,68,493,0,0,21
Fluo-N2DH-SIM+,01,threshold,100.0,0.10165625216422516,596,0.8093662807211001,0.8309167625623322,0.6636846881887721,5705.0,384,533,854,2,7,14
Fluo-N2DH-SIM+,02,cellpose,100.0,0.5774514761829692,1009,0.5045429906300818,0.5230198754078909,0.3807394156231365,19194.5,1421,1829,2075,0,8,3
Fluo-N2DH-SIM+,02,hybrid,100.0,2.3118239215817633,8025,0.0,0.0,0.16935002981514613,52736.0,2170,26777,2782,4,16,2
Fluo-N2DH-SIM+,02,threshold,100.0,2.293231123909963,8013,0.0,0.0,0.09848936593122637,59627.5,2748,27547,3023,0,13,1
Fluo-N2DL-HeLa,01,cellpose,100.0,0.35187212009698776,2159,0.9139953442907097,0.9445190415557356,0.7086739858288562,8534.5,385,918,2403,75,5,62
Fluo-N2DL-HeLa,01,hybrid,100.0,0.36707866102345066,1611,0.6519554986748359,0.6835976386155804,0.43911079965740096,34537.5,2440,914,4717,73,404,55
Fluo-N2DL-HeLa,01,threshold,100.0,0.36707866102345066,1611,0.6519554986748359,0.6835976386155804,0.43911079965740096,34537.5,2440,914,4717,73,404,55
Fluo-N2DL-HeLa,02,cellpose,100.0,0.2844114148587824,7579,0.925023634022031,0.9608693941778127,0.6836591438864166,21889.5,562,3662,7699,261,133,133
Fluo-N2DL-HeLa,02,hybrid,100.0,0.24058901508428485,5464,0.7150935770263604,0.7539496459480723,0.4534594193685103,83179.0,5251,2761,13480,309,1455,104
Fluo-N2DL-HeLa,02,threshold,100.0,0.24058901508428485,5464,0.7150935770263604,0.7539496459480723,0.4534594193685103,83179.0,5251,2761,13480,309,1455,104
